340.893 346.102 0 0 330 319.107 330 349.107 0 13.8979 19.1066 30 0 300 300 300 313.898 323.413 336.587 351.052 0 10.8934 23.4132 30 40.8934 60 60 0 240 270 280.893 286.102 300 310.893 319.107 330 340.893 352.411 0 8.94828 19.1066 30 36.5868 46.1021 60 79.1066 90 120 180 210 240 259.107 270 276.587 289.107 300 308.948 316.102 325.285 334.715 343.898 
0 0 13.8979 19.1066 0 340.893 346.102 0 10.8934 23.4132 30 40.8934 30 0 330 319.107 330 336.587 349.107 0 8.94829 19.1066 30 36.5868 46.1021 60 60 60 0 300 300 300 313.898 323.413 330 340.893 351.052 0 7.58908 16.1021 25.285 34.715 40.8934 49.1066 60 73.8979 79.1066 90 120 180 240 270 280.893 286.102 300 310.893 319.107 325.285 334.715 343.898 352.411 
19.1066 13.8979 30 40.8934 30 0 0 10.8934 23.4132 36.5868 46.1021 60 60 60 0 330 340.893 346.102 0 8.94829 19.1066 30 40.8934 49.1066 60 73.8979 79.1066 90 120 0 300 300 319.107 330 336.587 349.107 0 7.58908 16.1021 25.285 34.715 43.8979 51.0517 60 70.8934 83.4132 90 100.893 120 150 180 240 270 280.893 300 313.898 323.413 330 340.893 351.052 0 
40.8934 30 46.1021 60 60 30 19.1066 23.4132 36.5868 49.1066 60 73.8979 79.1066 90 60 0 0 0 13.8979 19.1066 30 40.8934 51.0517 60 70.8934 83.4132 90 100.893 120 120 0 300 330 340.893 346.102 0 10.8934 16.1021 25.285 34.715 43.8979 52.4109 60 68.9483 79.1066 90 96.5868 106.102 120 139.107 150 180 240 270 300 319.107 330 336.587 349.107 0 8.94828 
60 46.1021 60 73.8979 79.1066 60 40.8934 36.5868 49.1066 60 70.8934 83.4132 90 100.893 90 60 30 19.1066 30 30 40.8934 51.0517 60 68.9483 79.1066 90 96.5868 106.102 120 120 120 0 0 0 0 13.8979 23.4132 25.285 34.715 43.8979 52.4109 60 67.5891 76.1021 85.285 94.715 100.893 109.107 120 133.898 139.107 150 180 240 300 330 340.893 346.102 0 10.8934 19.1066 
79.1066 60 73.8979 90 100.893 90 60 46.1021 60 70.8934 83.4132 96.5868 106.102 120 120 120 60 30 40.8934 36.5868 49.1066 60 68.9483 79.1066 90 100.893 109.107 120 133.898 139.107 150 180 0 0 0 19.1066 30 30 40.8934 51.0517 60 67.5891 76.1021 85.285 94.715 103.898 111.052 120 130.893 143.413 150 160.893 180 210 240 300 330 340.893 0 13.8979 23.4132 
100.893 79.1066 90 106.102 120 120 90 60 73.8979 83.4132 96.5868 109.107 120 133.898 139.107 150 120 60 60 46.1021 60 70.8934 79.1066 90 100.893 111.052 120 130.893 143.413 150 160.893 180 180 0 0 30 40.8934 36.5868 49.1066 60 68.9483 76.1021 85.285 94.715 103.898 112.411 120 128.948 139.107 150 156.587 166.102 180 199.107 210 240 300 330 0 19.1066 30 
120 100.893 106.102 120 133.898 139.107 120 79.1066 90 96.5868 109.107 120 130.893 143.413 150 160.893 150 120 90 60 73.8979 83.4132 90 100.893 111.052 120 128.948 139.107 150 156.587 166.102 180 180 180 0 60 60 46.1021 60 70.8934 79.1066 85.285 94.715 103.898 112.411 120 127.589 136.102 145.285 154.715 160.893 169.107 180 193.898 199.107 210 240 300 0 30 40.8934 
139.107 120 120 133.898 150 160.893 150 90 100.893 106.102 120 130.893 143.413 156.587 166.102 180 180 180 120 60 79.1066 90 96.5868 109.107 120 128.948 139.107 150 160.893 169.107 180 193.898 199.107 210 240 0 60 40.8934 60 73.8979 83.4132 90 100.893 111.052 120 127.589 136.102 145.285 154.715 163.898 171.052 180 190.893 203.413 210 220.893 240 270 300 0 30 
160.893 150 139.107 150 166.102 180 180 120 120 120 133.898 143.413 156.587 169.107 180 193.898 199.107 210 180 60 90 100.893 106.102 120 130.893 139.107 150 160.893 171.052 180 190.893 203.413 210 220.893 240 240 0 30 60 79.1066 90 96.5868 109.107 120 128.948 136.102 145.285 154.715 163.898 172.411 180 188.948 199.107 210 216.587 226.102 240 259.107 270 300 0 
180 180 166.102 169.107 180 190.893 193.898 180 160.893 150 156.587 160.893 171.052 180 188.948 199.107 203.413 210 199.107 180 150 139.107 133.898 143.413 150 154.715 163.898 172.411 180 187.589 196.102 205.285 210 216.587 226.102 220.893 210 0 120 120 120 120 130.893 139.107 145.285 150 158.213 166.102 173.413 180 186.587 193.898 201.787 210 214.715 220.893 229.107 240 240 240 240 
193.898 199.107 180 180 190.893 203.413 210 210 180 160.893 166.102 169.107 180 188.948 199.107 210 216.587 226.102 220.893 240 180 150 139.107 150 156.587 160.893 171.052 180 187.589 196.102 205.285 214.715 220.893 229.107 240 240 240 300 0 120 120 120 133.898 143.413 150 154.715 163.898 172.411 180 186.587 193.898 201.787 210 218.213 223.898 231.052 240 250.893 253.898 259.107 270 
210 220.893 199.107 193.898 203.413 216.587 226.102 240 210 180 180 180 190.893 199.107 210 220.893 229.107 240 240 270 240 180 150 160.893 166.102 169.107 180 188.948 196.102 205.285 214.715 223.898 231.052 240 250.893 253.898 259.107 300 300 0 120 120 139.107 150 156.587 160.893 171.052 180 187.589 193.898 201.787 210 218.213 226.102 232.411 240 248.948 259.107 263.413 270 280.893 
